,abbreviation,expansion,whole_set
4678,sa,staphylococcus aureus,"['sa', 'sat', 'sats', 'saturation', 'saturday', 'sexual activity', 'sexually active', 'sinoatrial', 'staph', 'staphylococcus aureus', 'suicide alert', 'suicide attempt', 'sustained action']"
4679,sa,suicide alert,"['sa', 'sat', 'sats', 'saturation', 'saturday', 'sexual activity', 'sexually active', 'sinoatrial', 'staph', 'staphylococcus aureus', 'suicide alert', 'suicide attempt', 'sustained action']"
4680,sa,suicide attempt,"['sa', 'sat', 'sats', 'saturation', 'saturday', 'sexual activity', 'sexually active', 'sinoatrial', 'staph', 'staphylococcus aureus', 'suicide alert', 'suicide attempt', 'sustained action']"
4681,sa,sustained action,"['sa', 'sat', 'sats', 'saturation', 'saturday', 'sexual activity', 'sexually active', 'sinoatrial', 'staph', 'staphylococcus aureus', 'suicide alert', 'suicide attempt', 'sustained action']"
4682,saag,serum ascites albumin gradient,"['saag', 'serum ascites albumin gradient']"
4683,saard,slow-acting antirheumatic drugs,"['saard', 'slow-acting antirheumatic drugs']"
4684,sab,spontaneous abortion,"['sab', 'spontaneous abortion']"
4685,saco,arterial carboxyhemoglobin saturation,"['arterial carboxyhemoglobin saturation', 'saco']"
4686,sad,source axis distance,"['sad', 'source axis distance']"
4687,sae,serious adverse event,"['sae', 'serious adverse event']"
4688,sah,subarachnoid hemorrhage,"['sah', 'subarachnoid hemorrhage']"
4689,sam,systolic anterior motion,"['sam', 'systolic anterior motion']"
4690,san,sinoatrial node,"['san', 'sinoatrial node']"
4691,sang,sanguinous,"['sang', 'sanguinous']"
4692,sao2,arterial oxygen percent saturation,"['arterial oxygen percent saturation', 'sao2']"
4693,sapho,"synovitis, acne, pustulosis, hyperostosis and osteitis","['acne', 'hyperostosis and osteitis', 'pustulosis', 'sapho', 'synovitis']"
4694,sars,severe acute respiratory syndrome,"['sars', 'severe acute respiratory syndrome']"
4695,sasc,skills and simulation center,"['sasc', 'skills and simulation center']"
4696,sat,saturation,"['sa', 'sat', 'sats', 'saturation', 'saturday', 'sexual activity', 'sexually active', 'sinoatrial', 'staph', 'staphylococcus aureus', 'suicide alert', 'suicide attempt', 'sustained action']"
4697,sats,saturation,"['sa', 'sat', 'sats', 'saturation', 'saturday', 'sexual activity', 'sexually active', 'sinoatrial', 'staph', 'staphylococcus aureus', 'suicide alert', 'suicide attempt', 'sustained action']"
4698,sats,saturday,"['sa', 'sat', 'sats', 'saturation', 'saturday', 'sexual activity', 'sexually active', 'sinoatrial', 'staph', 'staphylococcus aureus', 'suicide alert', 'suicide attempt', 'sustained action']"
4699,sb,scleral buckling,"['sb', 'scleral buckling', 'sinus bradycardia', 'small bowel', 'spina bifida', 'sternal border']"
4700,sb,sinus bradycardia,"['sb', 'scleral buckling', 'sinus bradycardia', 'small bowel', 'spina bifida', 'sternal border']"
4701,sb,small bowel,"['sb', 'scleral buckling', 'sinus bradycardia', 'small bowel', 'spina bifida', 'sternal border']"
4702,sb,spina bifida,"['sb', 'scleral buckling', 'sinus bradycardia', 'small bowel', 'spina bifida', 'sternal border']"
4703,sb,sternal border,"['sb', 'scleral buckling', 'sinus bradycardia', 'small bowel', 'spina bifida', 'sternal border']"
4704,sbe,self breast exam,"['sbe', 'self breast exam', 'subacute bacterial endocarditis']"
4705,sbe,subacute bacterial endocarditis,"['sbe', 'self breast exam', 'subacute bacterial endocarditis']"
4706,sbft,small bowel follow through,"['sbft', 'small bowel follow through']"
4707,sbmd,sensory-based motor disorder,"['sbmd', 'sensory-based motor disorder']"
4708,sbo,small bowel obstruction,"['sbo', 'small bowel obstruction']"
4709,sbp,spontaneous bacterial peritonitis,"['sbp', 'spontaneous bacterial peritonitis', 'systolic blood pressure']"
4710,sbp,systolic blood pressure,"['sbp', 'spontaneous bacterial peritonitis', 'systolic blood pressure']"
4711,sbqc,small based quad cane,"['sbqc', 'small based quad cane']"
4712,sbs,shaken baby syndrome,"['sbs', 'shaken baby syndrome', 'small bowel series']"
4713,sbs,small bowel series,"['sbs', 'shaken baby syndrome', 'small bowel series']"
4714,sbt,spontaneous breathing trial,"['sbt', 'spontaneous breathing trial']"
4715,sc,hb sc,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4716,sc,sickle cell,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4717,sc,stem cell,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4718,sc,sternoclavicular,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4719,sc,sternoclavicular joint,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4720,sc,subclavian,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4721,sc,subclavicular,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4722,sc,subcostal,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4723,sc,subcutaneous,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4724,sc,sydenham chorea,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4725,sc,without glasses,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4726,scc,squamous cell carcinoma,"['scc', 'squamous cell carcinoma', 'surgical critical care']"
4727,scc,surgical critical care,"['scc', 'squamous cell carcinoma', 'surgical critical care']"
4728,scca,squamous cell cancer,"['scca', 'squamous cell cancer']"
4729,scd,sequential compression device,"['scd', 'sequential compression device', 'sickle cell disease', 'standard criteria donor', 'sudden cardiac death']"
4730,scd,sickle cell disease,"['scd', 'sequential compression device', 'sickle cell disease', 'standard criteria donor', 'sudden cardiac death']"
4731,scd,standard criteria donor,"['scd', 'sequential compression device', 'sickle cell disease', 'standard criteria donor', 'sudden cardiac death']"
4732,scd,sudden cardiac death,"['scd', 'sequential compression device', 'sickle cell disease', 'standard criteria donor', 'sudden cardiac death']"
4733,scds,sequential compression devices,"['scds', 'sequential compression devices']"
4734,schf,systolic congestive heart failure,"['schf', 'systolic congestive heart failure']"
4735,schip,state children's health insurance program,"['schip', 'state childrens health insurance program']"
4736,scl,soft contact lens,"['scl', 'soft contact lens']"
4737,scl-70,sclero 70,"['scl-70', 'sclero 70', 'scleroderma antibody']"
4738,scl-70,scleroderma antibody,"['scl-70', 'sclero 70', 'scleroderma antibody']"
4739,sclca,small cell lung cancer,"['sclca', 'small cell lung cancer']"
4740,scle,subacute cutaneous lupus erythematosus,"['scle', 'subacute cutaneous lupus erythematosus']"
4741,sct,haematopoietic stem cell transplantation,"['haematopoietic stem cell transplantation', 'salmon calcitonin', 'sct', 'sentence completion test', 'stem cell transplant', 'stem cell transplantation']"
4742,sct,salmon calcitonin,"['haematopoietic stem cell transplantation', 'salmon calcitonin', 'sct', 'sentence completion test', 'stem cell transplant', 'stem cell transplantation']"
4743,sct,sentence completion test,"['haematopoietic stem cell transplantation', 'salmon calcitonin', 'sct', 'sentence completion test', 'stem cell transplant', 'stem cell transplantation']"
4744,sct,stem cell transplant,"['haematopoietic stem cell transplantation', 'salmon calcitonin', 'sct', 'sentence completion test', 'stem cell transplant', 'stem cell transplantation']"
4745,sct,stem cell transplantation,"['haematopoietic stem cell transplantation', 'salmon calcitonin', 'sct', 'sentence completion test', 'stem cell transplant', 'stem cell transplantation']"
4746,scvo2,central venous oxygen saturation,"['central venous oxygen saturation', 'scvo2']"
4747,sd,saint vitus's dance,"['saint vituss dance', 'sd', 'standard deviation']"
4748,sd,standard deviation,"['saint vituss dance', 'sd', 'standard deviation']"
4749,sdd,sensory discrimination disorder,"['sdd', 'sensory discrimination disorder']"
4750,sdh,subdural hematoma,"['sdh', 'subdural hematoma']"
4751,sds,same day surgery,"['same day surgery', 'sds', 'sodium dodecyl sulfate']"
4752,sds,sodium dodecyl sulfate,"['same day surgery', 'sds', 'sodium dodecyl sulfate']"
4753,se,side effects,"['se', 'side effects', 'southeast', 'spherical equivalent']"
4754,se,southeast,"['se', 'side effects', 'southeast', 'spherical equivalent']"
4755,se,spherical equivalent,"['se', 'side effects', 'southeast', 'spherical equivalent']"
4756,sea,"seronegative enthesopathy and
arthropathy","['sea', 'seronegative enthesopathy and\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\narthropathy']"
4757,seal,superior epithelial arcuate lesion,"['seal', 'superior epithelial arcuate lesion']"
4758,sec,second,"['nasotracheal', 'nd', 'neodymium', 'neodymium-doped', 'nephrostomy tube', 'neutral density filter', 'non-distended', 'non-tender', 'non-tender non-distended', 'nondistended', 'nontender', 'nontender/nondistended', 'nt', 'nt/nd', 'ntnd', 'sec', 'second']"
4759,sed,sedated,"['sed', 'sedated', 'sedation', 'sedimentation']"
4760,sed,sedation,"['sed', 'sedated', 'sedation', 'sedimentation']"
4761,sed,sedimentation,"['sed', 'sedated', 'sedation', 'sedimentation']"
4762,sed rate,sedimentation rate,"['sed rate', 'sedimentation rate', 'sedrat']"
4763,sedrat,sedimentation rate,"['sed rate', 'sedimentation rate', 'sedrat']"
4764,segs,segmented neutrophils,"['segmented neutrophils', 'segs']"
4765,sem,systolic ejection murmur,"['sem', 'systolic ejection murmur']"
4766,semi,subendocardial myocardial infarction,"['semi', 'subendocardial myocardial infarction']"
4767,sf,synovial fluid,"['sf', 'synovial fluid']"
4768,sfa,superficial femoral artery,"['sfa', 'superficial femoral artery']"
4769,sfi,spondylitis functional index,"['sfi', 'spondylitis functional index']"
4770,sfv,superficial femoral vein,"['sfv', 'superficial femoral vein']"
4771,sg,specific gravity,"['sg', 'specific gravity', 'spg']"
4772,sga,small for gestational age,"['sga', 'small for gestational age']"
4773,sgb,stellate ganglion block,"['sgb', 'stellate ganglion block']"
4774,sgc,swan-ganz catheter,"['sgc', 'swan-ganz catheter']"
4775,sgot,serum glutamic oxaloacetic transaminase,"['serum glutamic oxaloacetic transaminase', 'sgot']"
4776,sgpt,serum glutamate pyruvate transaminase,"['serum glutamate pyruvate transaminase', 'serum glutamic pyruvic transaminase', 'sgpt']"
4777,sgpt,serum glutamic pyruvic transaminase,"['serum glutamate pyruvate transaminase', 'serum glutamic pyruvic transaminase', 'sgpt']"
4778,sh,push,"['push', 'sh', 'shampoo', 'she', 'shx', 'social history']"
4779,sh,shampoo,"['push', 'sh', 'shampoo', 'she', 'shx', 'social history']"
4780,sh,she,"['push', 'sh', 'shampoo', 'she', 'shx', 'social history']"
4781,sh,social history,"['push', 'sh', 'shampoo', 'she', 'shx', 'social history']"
4782,shbg,sex hormone binding globulin,"['sex hormone binding globulin', 'sex hormone-binding globulin', 'shbg']"
4783,shbg,sex hormone-binding globulin,"['sex hormone binding globulin', 'sex hormone-binding globulin', 'shbg']"
4784,shf,systolic heart failure,"['shf', 'systolic heart failure']"
4785,shx,social history,"['push', 'sh', 'shampoo', 'she', 'shx', 'social history']"
4786,si,sacroiliac,"['sacroiliac', 'si', 'sign', 'signs', 'suicidal ideation', 'suicide']"
4787,si,sign,"['sacroiliac', 'si', 'sign', 'signs', 'suicidal ideation', 'suicide']"
4788,si,signs,"['sacroiliac', 'si', 'sign', 'signs', 'suicidal ideation', 'suicide']"
4789,si,suicidal ideation,"['sacroiliac', 'si', 'sign', 'signs', 'suicidal ideation', 'suicide']"
4790,si,suicide,"['sacroiliac', 'si', 'sign', 'signs', 'suicidal ideation', 'suicide']"
4791,si joint,sacroiliac joint,"['sacroiliac joint', 'si joint']"
4792,siadh,syndrome of inappropriate antidiuretic hormone,"['siadh', 'syndrome of inappropriate antidiuretic hormone', 'syndrome of inappropriate antidiuretic hormone secretion']"
4793,siadh,syndrome of inappropriate antidiuretic hormone secretion,"['siadh', 'syndrome of inappropriate antidiuretic hormone', 'syndrome of inappropriate antidiuretic hormone secretion']"
4794,sib,sibling,"['sib', 'sibling']"
4795,sicu,surgical intensive care unit,"['sicu', 'surgical intensive care unit']"
4796,sids,sudden infant death syndrome,"['sids', 'sudden infant death syndrome']"
4797,sife,serum immunofixation electrophoresis,"['serum immunofixation electrophoresis', 'sife']"
4798,sig,let it be marked,"['let it be marked', 'sig']"
4799,sih,silicone hydrogel,"['sih', 'silicone hydrogel']"
4800,sijb,sacroiliac joint block,"['sacroiliac joint block', 'sijb']"
4801,sil,squamous intraepithelial lesion,"['sil', 'squamous intraepithelial lesion']"
4802,simv,synchronized intermittent mandatory ventilation,"['simv', 'synchronized intermittent mandatory ventilation']"
4803,sing.,of each,"['of each', 'sing.']"
4804,siro,sirolimus,"['siro', 'sirolimus', 'srl']"
4805,sirs,systemic inflammatory response syndrome,"['sirs', 'systemic inflammatory response syndrome']"
4806,sis,shaken infant syndrome,"['shaken infant syndrome', 'sis']"
4807,sk,seborrheic keratosis,"['seborrheic keratosis', 'sk', 'streptokinase']"
4808,sk,streptokinase,"['seborrheic keratosis', 'sk', 'streptokinase']"
4809,sk-sd,streptokinase-streptodornase,"['sk-sd', 'streptokinase-streptodornase']"
4810,sl,slight,"['sl', 'slight', 'slightly', 'subl', 'sublingual', 'under the tongue']"
4811,sl,slightly,"['sl', 'slight', 'slightly', 'subl', 'sublingual', 'under the tongue']"
4812,sl,sublingual,"['sl', 'slight', 'slightly', 'subl', 'sublingual', 'under the tongue']"
4813,sl,under the tongue,"['sl', 'slight', 'slightly', 'subl', 'sublingual', 'under the tongue']"
4814,slam,systemic lupus activity measure,"['slam', 'systemic lupus activity measure']"
4815,slb,short leg brace,"['short leg brace', 'slb']"
4816,slc,short leg cast,"['short leg cast', 'slc']"
4817,slcc,systemic lupus criteria count,"['slcc', 'systemic lupus criteria count']"
4818,sle,slit lamp exam,"['sle', 'slit lamp exam', 'slit lamp examination', 'systemic lupus erythematosus']"
4819,sle,slit lamp examination,"['sle', 'slit lamp exam', 'slit lamp examination', 'systemic lupus erythematosus']"
4820,sle,systemic lupus erythematosus,"['sle', 'slit lamp exam', 'slit lamp examination', 'systemic lupus erythematosus']"
4821,sledai,"systemic lupus erythematosus
disease activity index","['sledai', 'systemic lupus erythematosus\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ndisease activity index']"
4822,slex,sialyl lewis x,"['sialyl lewis x', 'slex']"
4823,slicc,"systemic lupus international
collaborating clinics","['slicc', 'systemic lupus international\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ncollaborating clinics']"
4824,slk,superior limbic keratoconjunctivitis,"['slk', 'superior limbic keratoconjunctivitis']"
4825,sll,small lymphocytic lymphoma,"['sll', 'small lymphocytic lymphoma']"
4826,slm,slit lamp microscope,"['slit lamp microscope', 'slm']"
4827,slp,speech language pathologist,"['slp', 'speech language pathologist']"
4828,slr,straight leg raise,"['slr', 'straight leg raise', 'straight leg raising']"
4829,slr,straight leg raising,"['slr', 'straight leg raise', 'straight leg raising']"
4830,sm,selective mutism,"['selective mutism', 'senior medicine', 'sm', 'small', 'smith', 'smooth muscle', 'submandibular', 'synovial membrane', 'systolic murmur']"
4831,sm,senior medicine,"['selective mutism', 'senior medicine', 'sm', 'small', 'smith', 'smooth muscle', 'submandibular', 'synovial membrane', 'systolic murmur']"
4832,sm,small,"['selective mutism', 'senior medicine', 'sm', 'small', 'smith', 'smooth muscle', 'submandibular', 'synovial membrane', 'systolic murmur']"
4833,sm,smith,"['selective mutism', 'senior medicine', 'sm', 'small', 'smith', 'smooth muscle', 'submandibular', 'synovial membrane', 'systolic murmur']"
4834,sm,smooth muscle,"['selective mutism', 'senior medicine', 'sm', 'small', 'smith', 'smooth muscle', 'submandibular', 'synovial membrane', 'systolic murmur']"
4835,sm,submandibular,"['selective mutism', 'senior medicine', 'sm', 'small', 'smith', 'smooth muscle', 'submandibular', 'synovial membrane', 'systolic murmur']"
4836,sm,synovial membrane,"['selective mutism', 'senior medicine', 'sm', 'small', 'smith', 'smooth muscle', 'submandibular', 'synovial membrane', 'systolic murmur']"
4837,sm,systolic murmur,"['selective mutism', 'senior medicine', 'sm', 'small', 'smith', 'smooth muscle', 'submandibular', 'synovial membrane', 'systolic murmur']"
4838,sma,spinal muscular atrophy,"['sma', 'spinal muscular atrophy', 'superior mesenteric artery']"
4839,sma,superior mesenteric artery,"['sma', 'spinal muscular atrophy', 'superior mesenteric artery']"
4840,smd,sensory modulation disorder,"['sensory modulation disorder', 'smd']"
4841,smei,severe myoclonic epilepsy of infancy,"['severe myoclonic epilepsy of infancy', 'smei']"
4842,smh,submacular hemorrhage,"['smh', 'submacular hemorrhage']"
4843,sms,smith-magenis syndrome,"['smith-magenis syndrome', 'smith–magenis syndrome', 'sms']"
4844,sms,smith–magenis syndrome,"['smith-magenis syndrome', 'smith–magenis syndrome', 'sms']"
4845,snf,skilled nursing facility,"['skilled nursing facility', 'snf']"
4846,snhl,sensorineural hearing loss,"['sensorineural hearing loss', 'snhl']"
4847,so,superior oblique,"['so', 'superior oblique']"
4848,soap,subjective objective assessment and plan,"['soap', 'subjective objective assessment and plan']"
4849,sob,short of breath,"['short of breath', 'shortness of breath', 'sob']"
4850,sob,shortness of breath,"['short of breath', 'shortness of breath', 'sob']"
4851,sod,septo-optic dysplasia,"['septo-optic dysplasia', 'sod']"
4852,sol,solution,"['liq.', 'sol', 'sol.', 'solution']"
4853,sol.,solution,"['liq.', 'sol', 'sol.', 'solution']"
4854,som,serous otitis media,"['serous otitis media', 'som']"
4855,sonb,supraorbital nerve block,"['sonb', 'supraorbital nerve block']"
4856,sono,sonogram,"['sono', 'sonogram']"
4857,sp,specific,"['s.p', 's/p', 'sp', 'specific', 'spinal', 'sprays', 'starpanel', 'status post', 'suprapubic', 'suprapubic tube']"
4858,sp,spinal,"['s.p', 's/p', 'sp', 'specific', 'spinal', 'sprays', 'starpanel', 'status post', 'suprapubic', 'suprapubic tube']"
4859,sp,sprays,"['s.p', 's/p', 'sp', 'specific', 'spinal', 'sprays', 'starpanel', 'status post', 'suprapubic', 'suprapubic tube']"
4860,sp,starpanel,"['s.p', 's/p', 'sp', 'specific', 'spinal', 'sprays', 'starpanel', 'status post', 'suprapubic', 'suprapubic tube']"
4861,sp,status post,"['s.p', 's/p', 'sp', 'specific', 'spinal', 'sprays', 'starpanel', 'status post', 'suprapubic', 'suprapubic tube']"
4862,sp,suprapubic,"['s.p', 's/p', 'sp', 'specific', 'spinal', 'sprays', 'starpanel', 'status post', 'suprapubic', 'suprapubic tube']"
4863,sp,suprapubic tube,"['s.p', 's/p', 'sp', 'specific', 'spinal', 'sprays', 'starpanel', 'status post', 'suprapubic', 'suprapubic tube']"
4864,spa,salt poor albumin,"['salt poor albumin', 'spa', 'spondyloarthritis']"
4865,spa,spondyloarthritis,"['salt poor albumin', 'spa', 'spondyloarthritis']"
4866,spco,carboxyhemoglobin saturation,"['carboxyhemoglobin saturation', 'spco']"
4867,spd,sensory processing disorder,"['sensory processing disorder', 'spd']"
4868,spec,specimen,"['spec', 'specimen']"
4869,spect,single-photon emission computed tomography,"['single-photon emission computed tomography', 'single-photon-emission computed tomography', 'spect']"
4870,spect,single-photon-emission computed tomography,"['single-photon emission computed tomography', 'single-photon-emission computed tomography', 'spect']"
4871,spee,superficial punctate epithelial erosions,"['spee', 'superficial punctate epithelial erosions']"
4872,spep,serum protein electrophoresis,"['serum protein electrophoresis', 'spep']"
4873,spf,sun protection formula,"['spf', 'sun protection formula']"
4874,spg,specific gravity,"['sg', 'specific gravity', 'spg']"
4875,sph,sphere,"['sph', 'sphere']"
4876,spk,simultaneous pancreas-kidney transplantation,"['simultaneous pancreas-kidney transplantation', 'spk', 'superficial punctate keratitis']"
4877,spk,superficial punctate keratitis,"['simultaneous pancreas-kidney transplantation', 'spk', 'superficial punctate keratitis']"
4878,spl,sound pressure level,"['sound pressure level', 'spl']"
4879,spo2,oxygen saturation by pulse oximeter,"['oxygen saturation by pulse oximeter', 'pulse oximeter oxygen saturation', 'spo2']"
4880,spo2,pulse oximeter oxygen saturation,"['oxygen saturation by pulse oximeter', 'pulse oximeter oxygen saturation', 'spo2']"
4881,spont,spontaneous,"['spont', 'spontaneous']"
4882,spp,suprapubic prostatectomy,"['spp', 'suprapubic prostatectomy']"
4883,sps,stiff person syndrome,"['sps', 'stiff person syndrome']"
4884,spy,spray,"['spray', 'spy']"
4885,sq,square,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4886,sq,squirt,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4887,sq,subcutaneous,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
